dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.548862636089325,643.1881034374237
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.533306896686554,263.4502844810486
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5467711091041565,552.7602059841156
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5435888171195984,529.2762875556946
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.543279230594635,625.631334066391
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5536797046661377,168.77152156829834
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.6318681240081787,687.5499813556671
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5325356125831604,553.4098403453827
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5454709529876709,683.8597667217255
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5517231225967407,289.7150504589081
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5996620655059814,729.690426826477
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5426311492919922,467.0425889492035
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5354316234588623,657.0514988899231
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5483956336975098,345.2750172615051
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.6181352138519287,666.7015645503998
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5336998701095581,442.6697845458984
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5612647533416748,675.2645087242126
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5591109395027161,351.7956109046936
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5767090916633606,647.9411723613739
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5315947532653809,433.45362520217896
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5406221151351929,661.2388830184937
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5366254448890686,400.8032896518707
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5897432565689087,664.0882601737976
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.558597981929779,357.40209579467773
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.546961784362793,646.1598343849182
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5608039498329163,546.0401740074158
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5685124397277832,638.9900100231171
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5450050830841064,308.8068668842316
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5673685669898987,703.5195391178131
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5640631914138794,584.6214799880981
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5551130175590515,670.8722379207611
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5339094400405884,198.0432269573212
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.544714629650116,712.215181350708
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5335357189178467,605.0240197181702
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5631667971611023,702.7005362510681
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5334485769271851,354.3900349140167
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5441492795944214,680.90958070755
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5519111752510071,433.8012595176697
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5481136441230774,715.4001085758209
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.5677716732025146,397.35367345809937
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5688310861587524,629.09241938591
wikimath,STGCN,0.1198374046094259,block,8,12,linear,50,0.573662519454956,384.3338010311127
wikimath,IT-STGCN,0.1198374046094259,block,8,12,linear,50,0.5429015755653381,650.2996869087219
monte,STGCN,0.8,rand,4,12,nearest,50,1.2104506492614746,101.56781840324402
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.3908233642578125,365.22328519821167
monte,STGCN,0.8,rand,4,12,nearest,50,1.215319037437439,277.6886661052704
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0407015085220337,226.985963344574
monte,STGCN,0.8,rand,4,12,nearest,50,1.4246628284454346,268.1802196502685
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1232516765594482,411.94409441947937
monte,STGCN,0.8,rand,4,12,nearest,50,1.2337287664413452,82.97912216186523
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.457290530204773,506.229754447937
monte,STGCN,0.8,rand,4,12,nearest,50,1.3470455408096311,184.29901909828183
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.3208141326904297,262.48997163772583
monte,STGCN,0.8,rand,4,12,nearest,50,1.5226271152496338,344.346137046814
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0811697244644165,263.41832399368286
monte,STGCN,0.8,rand,4,12,nearest,50,1.3053351640701294,211.0829854011536
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1990258693695068,466.0076868534088
monte,STGCN,0.8,rand,4,12,nearest,50,1.2701867818832395,80.64999485015869
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.3325945138931274,413.8655996322632
monte,STGCN,0.8,rand,4,12,nearest,50,1.4930330514907837,286.39408349990845
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1275086402893066,278.5746476650238
monte,STGCN,0.8,rand,4,12,nearest,50,1.432850003242493,341.5027849674225
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.3039350509643557,264.19324374198914
monte,STGCN,0.8,rand,4,12,nearest,50,1.2858916521072388,195.7222054004669
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0817644596099854,496.6998262405396
monte,STGCN,0.8,rand,4,12,nearest,50,1.3535418510437012,83.58553504943848
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.2465367317199707,388.58672738075256
monte,STGCN,0.8,rand,4,12,nearest,50,1.373591065406799,285.2049808502197
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.294168472290039,229.9746525287628
monte,STGCN,0.8,rand,4,12,nearest,50,1.3801367282867432,360.6576335430145
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.187376856803894,329.12704586982727
monte,STGCN,0.8,rand,4,12,nearest,50,1.1253896951675415,82.42554092407227
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1411017179489136,559.4657974243164
monte,STGCN,0.8,rand,4,12,nearest,50,1.2757353782653809,152.53081226348877
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.2270089387893677,323.7947528362274
monte,STGCN,0.8,rand,4,12,nearest,50,1.2679924964904783,314.99489188194275
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.235144019126892,254.9753456115723
monte,STGCN,0.8,rand,4,12,nearest,50,1.3457438945770264,307.57273173332214
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.3841519355773926,401.1021625995636
monte,STGCN,0.8,rand,4,12,nearest,50,1.6400105953216553,83.0204725265503
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1582183837890625,496.7042887210846
monte,STGCN,0.8,rand,4,12,nearest,50,1.2953722476959229,217.910573720932
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.2644429206848145,266.7458131313324
monte,STGCN,0.8,rand,4,12,nearest,50,1.3481438159942627,356.45737957954407
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.332885980606079,268.5605630874634
monte,STGCN,0.8,rand,4,12,nearest,50,1.2844719886779783,242.672935962677
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1131354570388794,450.3797659873962
monte,STGCN,0.8,rand,4,12,nearest,50,1.5079231262207031,82.47123456001282
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.2159647941589355,414.8054008483887
monte,STGCN,0.8,rand,4,12,nearest,50,1.3385697603225708,271.04117155075073
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1089540719985962,258.4340968132019
monte,STGCN,0.8,rand,4,12,nearest,50,1.8979823589324951,359.4807057380676
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0401397943496704,316.9725399017334
monte,STGCN,0.8,rand,4,12,nearest,50,1.2089251279830933,232.1104209423065
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.3003968000411987,402.7441375255585
monte,STGCN,0.8,rand,4,12,nearest,50,1.2397810220718384,121.81601738929749
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.0701625347137451,405.35927391052246
monte,STGCN,0.8,rand,4,12,nearest,50,1.330724596977234,188.94203424453733
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.4182544946670532,352.95258808135986
monte,STGCN,0.8,rand,4,12,nearest,50,1.3758457899093628,278.4776620864868
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1019723415374756,296.24595832824707
monte,STGCN,0.8,rand,4,12,nearest,50,1.4059046506881714,222.48399829864505
monte,IT-STGCN,0.8,rand,4,12,nearest,50,1.1718515157699585,425.013112783432
monte,STGCN,0.0,,4,12,,50,0.9801870584487916,116.30383372306824
monte,IT-STGCN,0.0,,4,12,,50,0.9844780564308168,401.39345598220825
monte,STGCN,0.0,,4,12,,50,0.9932172298431396,204.2355439662933
monte,IT-STGCN,0.0,,4,12,,50,1.0380710363388062,323.46009063720703
monte,STGCN,0.0,,4,12,,50,0.9927026033401488,255.18458437919617
monte,IT-STGCN,0.0,,4,12,,50,0.9860504865646362,300.1879885196686
monte,STGCN,0.0,,4,12,,50,0.9917900562286376,152.09001088142395
monte,IT-STGCN,0.0,,4,12,,50,0.9851516485214232,423.7496032714844
monte,STGCN,0.0,,4,12,,50,0.9672951698303224,172.58047580718994
monte,IT-STGCN,0.0,,4,12,,50,1.0148898363113403,371.443178653717
monte,STGCN,0.0,,4,12,,50,0.9898173213005066,226.69011116027832
monte,IT-STGCN,0.0,,4,12,,50,0.9797050356864928,268.6564426422119
monte,STGCN,0.0,,4,12,,50,0.9869471192359924,365.1188979148865
monte,IT-STGCN,0.0,,4,12,,50,1.046857237815857,314.03184962272644
monte,STGCN,0.0,,4,12,,50,0.9751877784729004,123.2055597305298
monte,IT-STGCN,0.0,,4,12,,50,0.9829265475273132,435.3064415454865
monte,STGCN,0.0,,4,12,,50,0.970539391040802,169.85109448432922
monte,IT-STGCN,0.0,,4,12,,50,1.026787281036377,379.6054129600525
monte,STGCN,0.0,,4,12,,50,0.9615161418914796,234.6088993549347
monte,IT-STGCN,0.0,,4,12,,50,0.9835464358329772,276.1395869255066
monte,STGCN,0.0,,4,12,,50,0.9864418506622314,239.69251084327692
monte,IT-STGCN,0.0,,4,12,,50,0.9607110023498536,395.5352976322174
monte,STGCN,0.0,,4,12,,50,0.982336401939392,90.80316185951231
monte,IT-STGCN,0.0,,4,12,,50,0.9757333993911744,465.81503534317017
monte,STGCN,0.0,,4,12,,50,1.0081281661987305,209.3771526813507
monte,IT-STGCN,0.0,,4,12,,50,1.1430156230926514,245.9511296749115
monte,STGCN,0.0,,4,12,,50,0.9905885457992554,389.7294335365296
monte,IT-STGCN,0.0,,4,12,,50,0.9719722270965576,246.66421127319336
monte,STGCN,0.0,,4,12,,50,0.9793243408203124,171.14287853240967
monte,IT-STGCN,0.0,,4,12,,50,1.0124820470809937,492.9618337154389
monte,STGCN,0.0,,4,12,,50,0.9838913679122924,109.22127270698547
monte,IT-STGCN,0.0,,4,12,,50,0.9731409549713136,386.3414876461029
monte,STGCN,0.0,,4,12,,50,0.992803990840912,282.5271735191345
monte,IT-STGCN,0.0,,4,12,,50,0.9576640129089355,198.54545307159424
monte,STGCN,0.0,,4,12,,50,0.9984491467475892,305.907546043396
monte,IT-STGCN,0.0,,4,12,,50,1.1002386808395386,402.1124830245972
monte,STGCN,0.0,,4,12,,50,0.9730580449104308,82.54303908348083
monte,IT-STGCN,0.0,,4,12,,50,1.023612141609192,482.31258392333984
monte,STGCN,0.0,,4,12,,50,0.966714084148407,206.59112071990967
monte,IT-STGCN,0.0,,4,12,,50,1.0585044622421265,270.9308958053589
monte,STGCN,0.0,,4,12,,50,0.9770541787147522,371.61076521873474
monte,IT-STGCN,0.0,,4,12,,50,1.02224862575531,250.06575226783752
monte,STGCN,0.0,,4,12,,50,0.968740701675415,112.06456470489502
monte,IT-STGCN,0.0,,4,12,,50,0.9662412405014038,533.8443496227264
monte,STGCN,0.0,,4,12,,50,0.981108009815216,228.9433159828186
monte,IT-STGCN,0.0,,4,12,,50,1.0080170631408691,463.94646310806274
monte,STGCN,0.0,,4,12,,50,0.9645988941192628,394.5425019264221
monte,IT-STGCN,0.0,,4,12,,50,1.0307883024215698,334.61159205436707
monte,STGCN,0.0,,4,12,,50,0.981638491153717,468.6619486808777
monte,IT-STGCN,0.0,,4,12,,50,1.0584896802902222,434.3055138587952
monte,STGCN,0.0,,4,12,,50,0.976187527179718,146.81205534934998
monte,IT-STGCN,0.0,,4,12,,50,0.993209958076477,661.6181132793427
monte,STGCN,0.0,,4,12,,50,0.9825279712677002,260.2981972694397
monte,IT-STGCN,0.0,,4,12,,50,0.9549723267555236,462.0001952648163
monte,STGCN,0.0,,4,12,,50,0.9906661510467528,322.65172266960144
monte,IT-STGCN,0.0,,4,12,,50,1.040791630744934,369.9384603500366
monte,STGCN,0.0,,4,12,,50,0.9988142251968384,342.6002941131592
monte,IT-STGCN,0.0,,4,12,,50,0.9845757484436036,484.5045387744904
monte,STGCN,0.0,,4,12,,50,0.9903103709220886,231.4809787273407
monte,IT-STGCN,0.0,,4,12,,50,0.961982786655426,518.5818164348602
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0907995700836182,157.6321039199829
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9498867392539978,330.4064769744873
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0526684522628784,263.8386981487274
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9693973064422609,293.1216449737549
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0563969612121582,192.16497111320496
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9910717606544496,401.34069538116455
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.1191328763961792,142.67026495933533
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9602092504501344,423.4826183319092
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0033059120178225,196.6884183883667
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,1.005698800086975,287.9100134372711
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0433109998703003,292.853720664978
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9784140586853028,355.1999225616455
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0023103952407837,185.03950095176697
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9712409377098083,418.6769173145294
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,0.9813719987869264,118.30521559715272
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,1.003024697303772,422.8791980743408
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.046539545059204,219.50814747810364
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9945007562637328,277.48303413391113
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0017980337142944,266.8251986503601
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,1.041860818862915,355.7252731323242
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,0.9619699120521544,151.40989589691162
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,1.0958307981491089,431.464346408844
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0626789331436155,144.02894687652588
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,1.0217468738555908,335.1755118370056
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0970300436019895,270.28421688079834
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9719815850257874,265.43947672843933
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.058516263961792,210.94344067573547
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9917431473731996,474.7995402812958
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,1.0423240661621094,99.35973119735718
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.993485987186432,425.33216619491577
monte,STGCN,0.1491424310216256,block,4,12,nearest,50,0.9894353151321412,251.78650784492493
monte,IT-STGCN,0.1491424310216256,block,4,12,nearest,50,0.9939106106758118,198.0901219844818
